campaign_id,campaign_name,start_date,end_date,channel,region,impressions,clicks,conversions,spend_usd,revenue_usd,target_audience,product_category,device,year
2025_0362,Campaign_2025_0362,2025-01-27,2025-09-29,Print,Asia,67679,36361,1567,25953.91,58777.03,Adults,Electronics,Tablet,2025
2025_0074,Campaign_2025_0074,2025-03-07,2025-07-22,Social,Asia,31319,29643,15869,6319.31,16343.87,Youth,Software,Tablet,2025
2025_0375,Campaign_2025_0375,2025-01-18,2025-03-17,Search,North America,25616,1870,538,31527.79,85442.85,Youth,Services,Tablet,2025
2025_0156,Campaign_2025_0156,2025-03-09,2025-10-24,Print,Asia,69647,24744,22499,44723.07,123859.97,Adults,Clothing,Mobile,2025
2025_0105,Campaign_2025_0105,2025-02-02,2025-10-08,Search,South America,92176,36190,21255,39591.83,104020.88,Adults,Services,Desktop,2025
2025_0395,Campaign_2025_0395,2025-06-13,2025-08-16,Search,North America,71577,17545,9575,31507.86,45176.95,Seniors,Food,Desktop,2025
2025_0378,Campaign_2025_0378,2025-03-26,2025-06-27,Social,Europe,63491,41226,37710,7937.13,21622.52,Youth,Software,Mobile,2025
2025_0125,Campaign_2025_0125,2025-06-28,2025-07-03,Print,Asia,47273,27395,23091,18248.03,47591.53,Adults,Electronics,Tablet,2025
2025_0069,Campaign_2025_0069,2025-04-14,2025-12-30,Display,South America,50804,36208,8232,41407.32,65062.06,Youth,Software,Mobile,2025
2025_0451,Campaign_2025_0451,2025-03-07,2025-09-18,Social,Asia,21314,8832,6858,44208.77,88627.81,Adults,Electronics,Desktop,2025
